country.homeland.ABY,HABEŞİSTAN
country.homeland.LUB,LUBA KRALLIĞI
country.homeland.LUS,KRALLIK
country.homeland.LXG,KRALLIK
country.homeland.MAD,MADAGASKAR
country.homeland.MAJ,İMPARATORLUK
country.homeland.MAL,İMPARATORLUK
country.homeland.MAM,SALTANAT
country.homeland.MAP,MAPUÇE TOPRAKLARI
country.homeland.MAY,KONFEDERASYON
country.homeland.MEW,KRALLIK
country.homeland.MGD,SULTANLIK
country.homeland.MGL,HANLIK
country.homeland.MID,DİYAR
country.homeland.MIL,DÜKALIK
country.homeland.MLC,SALTANAT
country.homeland.MLD,SULTANLIK
country.homeland.MLW,SULTANLIK
country.homeland.MOG,HANLIK
country.homeland.MOL,PRENSLİK
country.homeland.MOR,SALTANAT
country.homeland.MOS,MOSSİ KRALLIKLARI
country.homeland.MRC,NİPPON
country.homeland.MUI,MUİSKA KONFEDERASYONU
country.homeland.MVY,ANAVATANIMIZ
country.homeland.MYN,ORTA ÜLKE
country.homeland.NAP,ANAVATAN
country.homeland.NAV,KRALLIK
country.homeland.NBH,UMMAN KRALLIĞI
country.homeland.NEP,KRALLIK
country.homeland.NVD,CUMHURİYET
country.homeland.ORI,KRALLIK
country.homeland.OTT,SALTANAT
country.homeland.OYO,OYO İMPARATORLUĞU
country.homeland.PAL,KONT PALATİNLİĞİ
country.homeland.PAP,KUTSAL MAKAM
country.homeland.PEG,KRALLIK
country.homeland.POL,ANAVATAN
country.homeland.PRT,KRALLIK
country.homeland.PSI,SULTANLIK
country.homeland.PSK,CUMHURİYET
country.homeland.PUE,PUEBLO TOPRAKLARI
country.homeland.RAM,BEYLİK
country.homeland.RYA,KNEZLİK
country.homeland.RYU,ADALAR
country.homeland.SAV,DÜKALIK
country.homeland.SAX,SEÇMENLİK
country.homeland.SCT,ANAVATAN
country.homeland.SHV,ŞİRVANŞAHLAR
country.homeland.SIB,HANLIK
country.homeland.SND,SULTANLIK
country.homeland.SON,İMPARATORLUK
country.homeland.SRB,ANAVATAN
country.homeland.STE,ORDA
country.homeland.SUL,SULTANLIK
country.homeland.SWD,ANAVATAN
country.homeland.TAH,YEMEN SULTANLIĞI
country.homeland.TAI,TAİNO TOPRAKLARI
country.homeland.TAR,TARASKAN DEVLETİ
country.homeland.TEU,DÜZEN
country.homeland.TIB,YAYLA
country.homeland.TIM,ÜLKE
country.homeland.TLX,TLAXCALA KONFEDERASYONU
country.homeland.TND,KRALLIK
country.homeland.TRE,İMPARATORLUK
country.homeland.TVR,KNEZLİK
country.homeland.UZB,ÖZBEK HANLIĞI
country.homeland.VIJ,BHARAT
country.homeland.VNC,LA SERENISSIMA
country.homeland.WAL,PRENSLİK
country.homeland.WUR,KONTLUK
country.homeland.ZAP,ZAPOTEK KRALLIĞI
country.homeland.ZAY,TİLİMSAN KRALLIĞI
country.homeland.ZIM,KRALLIK
country.name.ABY,Habeş İmparatorluğu
country.name.ADA,Adal Sultanlığı
country.name.AKK,Akkoyunlular
country.name.ARA,Aragon Krallığı
country.name.ARK,Mrauk U Krallığı
country.name.AVA,Ava Krallığı
country.name.AYU,Ayutthaya Krallığı
country.name.AZT,Aztek İmparatorluğu
country.name.BAH,Bahmani Sultanlığı
country.name.BAV,Bavyera Dükalığı
country.name.BNG,Bengal Sultanlığı
country.name.BNK,Benin Krallığı
country.name.BOH,Bohemya Krallığı
country.name.BOS,Bosna Krallığı
country.name.BRG,Brandenburg Markgraflığı
country.name.BRU,Bruney Sultanlığı
country.name.BUG,Buganda Krallığı
country.name.BUR,Burgonya Dükalığı
country.name.BYZ,Bizans İmparatorluğu
country.name.CAH,Misisipi Şeflikleri (Cahokia)
country.name.CAS,Kastilya Krallığı
country.name.CEB,Cebu Racalığı
country.name.CHE,İsviçre Konfederasyonu
country.name.CHM,Chimor Krallığı
country.name.CND,Candaroğulları
country.name.COL,Köln Prens-Başpiskoposluğu
country.name.CPA,Çampa Krallığı
country.name.DAN,Danimarka Krallığı
country.name.DEL,Delhi Sultanlığı
country.name.DUL,Dulkadiroğulları
country.name.DVT,Dai Viet
country.name.ENG,İngiltere Krallığı
country.name.FLR,Floransa Cumhuriyeti
country.name.FNJ,Func Sennar Sultanlığı
country.name.FRA,Fransa Krallığı
country.name.GEN,Cenova Cumhuriyeti
country.name.GRG,Gürcistan Krallığı
country.name.GRN,Gırnata Emirliği
country.name.GUJ,Gücerat Sultanlığı
country.name.HAB,Avusturya Arşidükalığı
country.name.HAU,Hausa Şehir Devletleri
country.name.HFS,Hafsi Sultanlığı
country.name.HRM,Hürmüz Krallığı
country.name.HUN,Macar Krallığı
country.name.INC,İnka İmparatorluğu
country.name.IRO,Haudenosaunee Konfederasyonu
country.name.JBR,Cebri Emirliği
country.name.JNP,Jaunpur Sultanlığı
country.name.JOS,Joseon Hanedanlığı
country.name.KAR,Karamanoğulları
country.name.KBR,Kanem-Bornu İmparatorluğu
country.name.KKY,Karakoyunlular
country.name.KLW,Kilwa Sultanlığı (Svahili Sahili)
country.name.KMR,Khmer Krallığı
country.name.KNG,Kongo Krallığı
country.name.KNI,Hospitalier Şövalyeleri
country.name.KOT,Kotte Krallığı
country.name.KRM,Kırım Hanlığı
country.name.KSH,Keşmir Sultanlığı
country.name.KZN,Kazan Hanlığı
country.name.LEZ,Leş Birliği
country.name.LIV,Livonya Konfederasyonu
country.name.LNA,Lan Na Krallığı
country.name.LTH,Litvanya Büyük Dükalığı
country.name.LUB,Luba Krallığı
country.name.LUS,Kıbrıs Krallığı
country.name.LXG,Lan Xang Krallığı
country.name.MAD,Madagaskar Şeflikleri
country.name.MAJ,Majapahit İmparatorluğu
country.name.MAL,Mali İmparatorluğu
country.name.MAM,Memlük Sultanlığı
country.name.MAP,Mapuçe Halkları
country.name.MAY,Maya Konfederasyonu
country.name.MEW,Mewar Krallığı
country.name.MGD,Maguindanao Sultanlığı
country.name.MGL,Oyrat Moğol Konfederasyonu
country.name.MID,Middag Krallığı
country.name.MIL,Milano Dükalığı
country.name.MLC,Malaka Sultanlığı
country.name.MLD,Maldivler Sultanlığı
country.name.MLW,Malva Sultanlığı
country.name.MOG,Babüristan (Doğu Çağatay)
country.name.MOL,Boğdan Prensliği
country.name.MOR,Merinli Fas
country.name.MOS,Mossi Krallıkları
country.name.MRC,Muromachi Şogunluğu
country.name.MUI,Muiska Konfederasyonu
country.name.MVY,Moskova Knezliği
country.name.MYN,Ming Hanedanlığı
country.name.NAP,Napoli Krallığı
country.name.NAV,Navarra Krallığı
country.name.NBH,Nebhani Umman Krallığı
country.name.NEP,Malla Nepal Krallığı
country.name.NVD,Novgorod Cumhuriyeti
country.name.ORI,Gajapati Orissa Krallığı
country.name.OTT,Osmanlı İmparatorluğu
country.name.OYO,Oyo İmparatorluğu
country.name.PAL,Palatina Seçmen Prensliği
country.name.PAP,Papalık Devletleri
country.name.PEG,Hanthawaddy Pegu Krallığı
country.name.POL,Polonya Krallığı
country.name.PRT,Portekiz Krallığı
country.name.PSI,Samudra-Pasai Sultanlığı
country.name.PSK,Pskov Cumhuriyeti
country.name.PUE,Pueblo Halkları
country.name.RAM,Ramazanoğulları
country.name.RYA,Ryazan Knezliği
country.name.RYU,Ryukyu Krallığı
country.name.SAV,Savoy Dükalığı
country.name.SAX,Saksonya Seçmen Prensliği
country.name.SCT,İskoçya Krallığı
country.name.SHV,Şirvanşahlar
country.name.SIB,Sibir Hanlığı
country.name.SND,Samma Sind Sultanlığı
country.name.SON,Songay İmparatorluğu
country.name.SRB,Sırp Despotluğu
country.name.STE,Büyük Orda
country.name.SUL,Sulu Sultanlığı
country.name.SWD,İsveç Krallığı
country.name.TAH,Tahiri Yemen Sultanlığı
country.name.TAI,Taino Şeflikleri
country.name.TAR,Taraskan Devleti (Purepeçalar)
country.name.TEU,Töton Şövalyeleri
country.name.TIB,Tibet
country.name.TIM,Timurlu İmparatorluğu
country.name.TLX,Tlaxcala Konfederasyonu
country.name.TND,Tondo Krallığı
country.name.TRE,Trabzon İmparatorluğu
country.name.TVR,Tver Knezliği
country.name.UZB,Özbek Hanlığı
country.name.VIJ,Vijayanagara İmparatorluğu
country.name.VNC,Venedik Cumhuriyeti
country.name.WAL,Eflak Prensliği
country.name.WUR,Württemberg Kontluğu
country.name.ZAP,Zapotek Krallığı
country.name.ZAY,Zeyyani Tilimsan Krallığı
country.name.ZIM,Zimbabwe Krallığı
mod.owo.popup.startup.body_no_date,Avrupa ve Asya eski feodal düzenler ile yükselen merkezi devletler arasında sıkışmış durumda.\nAkdeniz Karadeniz Hint Okyanusu ve İpek Yolu üzerindeki ticaret hatları gücün atardamarlarını oluşturuyor.\nBarutlu ordular yükseliyor ancak süvari birlikleri levazım düzeni ve kaleler hala savaşların kaderini belirliyor.\n\nDöneme uygun hükümdarlar sınırlar ve askeri düzenlerle tanımlanan 120'den fazla tarihsel siyasi oluşumdan birini yönetiyorsun.\nBu bilgilendirmeyi istediğin zaman tekrar açmak için araç çubuğundaki taç düğmesini kullan.
mod.owo.popup.startup.body_with_date,Tarih: {0}-{1}\n\nAvrupa ve Asya eski feodal düzenler ile yükselen merkezi devletler arasında sıkışmış durumda.\nAkdeniz Karadeniz Hint Okyanusu ve İpek Yolu üzerindeki ticaret hatları gücün atardamarlarını oluşturuyor.\nBarutlu ordular yükseliyor ancak süvari birlikleri levazım düzeni ve kaleler hala savaşların kaderini belirliyor.\n\nDöneme uygun hükümdarlar sınırlar ve askeri düzenlerle tanımlanan 120'den fazla tarihsel siyasi oluşumdan birini yönetiyorsun.\nBu bilgilendirmeyi istediğin zaman tekrar açmak için araç çubuğundaki taç düğmesini kullan.
mod.owo.popup.startup.title,Eski Dünya Düzeni 1450
mod.ui.toolbar.welcome_tooltip,Stratejik Bilgilendirmeyi Aç
ui.button.ok,TAMAM
